feature_name,pvalue,is_normal
mean_red,4.221647716736582e-13,False
mean_green,9.280709054238344e-17,False
mean_blue,1.8930536207172146e-17,False
mean_grayscale,4.848528059619474e-14,False
std_red,4.0675212822962984e-18,False
std_green,1.463891440886043e-16,False
std_blue,2.7673110258050746e-19,False
std_grayscale,2.823797411398004e-17,False
median_red,1.786547505417015e-28,False
median_green,1.980394583536605e-37,False
median_blue,1.2901822671780387e-36,False
median_grayscale,5.926367727330837e-34,False
mode_red,6.445972935894159e-44,False
mode_green,0.0,False
mode_blue,8.407790785948902e-45,False
mode_grayscale,0.0,False
min_red,0.0,False
min_green,0.0,False
min_blue,0.0,False
min_grayscale,0.0,False
max_red,0.0,False
max_green,0.0,False
max_blue,0.0,False
max_grayscale,0.0,False
range_red,0.0,False
range_green,0.0,False
range_blue,0.0,False
range_grayscale,0.0,False
skewness_red,3.975203483596641e-41,False
skewness_green,8.477628698813923e-38,False
skewness_blue,5.511478379121539e-38,False
skewness_grayscale,3.2079925743788037e-41,False
kurtosis_red,0.0,False
kurtosis_green,0.0,False
kurtosis_blue,0.0,False
kurtosis_grayscale,0.0,False
entropy_red,3.9796876386824805e-43,False
entropy_green,4.175869423687955e-43,False
entropy_blue,4.624284932271896e-44,False
entropy_grayscale,1.6535321879032841e-43,False
quantile_0.25_red,0.0,False
quantile_0.25_green,0.0,False
quantile_0.25_blue,0.0,False
quantile_0.25_grayscale,0.0,False
quantile_0.75_red,3.8959118507719e-38,False
quantile_0.75_green,1.6458250463494976e-41,False
quantile_0.75_blue,0.0,False
quantile_0.75_grayscale,2.8446358825793787e-43,False
iqr_red,5.68384385444625e-31,False
iqr_green,2.8706672236324234e-33,False
iqr_blue,8.5864567901012e-31,False
iqr_grayscale,2.01547689998097e-33,False
mean_histogram,0.0,False
std_histogram,0.0,False
median_histogram,3.302374396205757e-30,False
mode_histogram,1.7904373169839556e-35,False
min_histogram,0.0,False
max_histogram,1.7904373169839556e-35,False
range_histogram,1.5910209008987826e-23,False
skewness_histogram,0.0,False
kurtosis_histogram,0.0,False
uniformity_histogram,0.0,False
entropy_histogram,0.0,False
R_histogram,0.0,False
contrast_coocurrence_matrix,4.003808990539164e-31,False
dissimilarity_coocurrence_matrix,3.1650737586375044e-09,False
homogeneity_coocurrence_matrix,0.0,False
energy_coocurrence_matrix,0.0,False
correlation_coocurrence_matrix,0.0,False
